[2025-08-13 22:07:19] [INFO    ] discord.client: logging in using static token
[2025-08-13 22:07:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'at_your_service', 'primary_guild': None, 'mfa_enabled': False, 'id': '1404882209613156574', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4018', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'fd18d3869dbed9ceea74c2459aa5aae3', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1404887012200157337'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'singapore', 'tel-aviv', 'hongkong'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1404882209613156574', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-t4kl",{"micros":808925,"calls":["id_created",{"micros":490,"calls":[]},"session_lookup_time",{"micros":326,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-76",{"micros":807701,"calls":["start_session",{"micros":770210,"calls":["discord-api-rpc-85c8c7956f-kvvlk",{"micros":586937,"calls":["get_user",{"micros":26098},"get_guilds",{"micros":81348},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":115932},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":78349},"apex_experiments",{"micros":91129},"user_activities",{"micros":6},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":48,"calls":[]},"presence_started",{"micros":11795,"calls":[]},"guilds_started",{"micros":55,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":25573,"calls":[]},"connect_finished",{"micros":25577,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-08-13 22:07:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-13 22:07:22] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: fd18d3869dbed9ceea74c2459aa5aae3).
[2025-08-13 22:07:22] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-13 22:07:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'lazy': True, 'members': [{'user': {'username': 'at_your_service', 'public_flags': 0, 'primary_guild': None, 'id': '1404882209613156574', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4018', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1404887194161647677'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-12T18:00:08.687000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'discovery_splash': None, 'icon': None, 'profile': None, 'rules_channel_id': None, 'activity_instances': [], 'id': '1404887012200157337', 'default_message_notifications': 0, 'name': "milf's server", 'home_header': None, 'public_updates_channel_id': None, 'afk_timeout': 300, 'hub_type': None, 'region': 'deprecated', 'splash': None, 'embedded_activities': [], 'premium_tier': 0, 'max_video_channel_users': 25, 'application_id': None, 'preferred_locale': 'en-US', 'threads': [], 'voice_states': [], 'presences': [], 'member_count': 2, 'explicit_content_filter': 0, 'vanity_url_code': None, 'safety_alerts_channel_id': None, 'stage_instances': [], 'mfa_level': 0, 'description': None, 'soundboard_sounds': [], 'latest_onboarding_question_id': None, 'features': [], 'afk_channel_id': None, 'joined_at': '2025-08-12T18:00:08.687000+00:00', 'inventory_settings': None, 'stickers': [], 'application_command_counts': {}, 'owner_id': '762539453896982529', 'channels': [{'version': 1755021565380, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1404887012728635462', 'flags': 0}, {'version': 1755021565387, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1404887012728635463', 'flags': 0}, {'version': 1755021565404, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1404887012728635462', 'name': 'general', 'last_message_id': '1405228161238696018', 'id': '1404887012728635464', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1755021565426, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1404887012728635463', 'name': 'General', 'last_message_id': None, 'id': '1404887012728635465', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'owner_configured_content_level': 0, 'moderator_reporting': None, 'premium_subscription_count': 0, 'max_stage_video_channel_users': 50, 'guild_scheduled_events': [], 'roles': [{'version': 1755021565349, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1404887012200157337', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1755100536571, 'unicode_emoji': None, 'tags': {'bot_id': '1404882209613156574'}, 'position': 3, 'permissions': '563242279955522', 'name': 'at_your_service', 'mentionable': False, 'managed': True, 'id': '1404887194161647677', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1755100536566, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'dilf', 'mentionable': False, 'managed': False, 'id': '1405217980308000809', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 5880495}, 'color': 5880495}, {'version': 1755100537024, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'munnu', 'mentionable': False, 'managed': False, 'id': '1405218202408980522', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 2123412}, 'color': 2123412}], 'system_channel_flags': 0, 'nsfw_level': 0, 'large': False, 'premium_progress_bar_enabled': False, 'premium_features': None, 'nsfw': False, 'unavailable': False, 'version': 1755100459427, 'banner': None, 'incidents_data': None, 'system_channel_id': '1404887012728635464', 'emojis': [], 'verification_level': 0, 'max_members': 25000000}}
[2025-08-13 22:07:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-13 22:07:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '1e200fa18cb910cdf09c1ece11c64163', 'members': [{'user': {'username': 'milf1659', 'public_flags': 0, 'primary_guild': None, 'id': '762539453896982529', 'global_name': 'milf', 'display_name_styles': None, 'display_name': 'milf', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1405218202408980522'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-12T17:59:25.276000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'at_your_service', 'public_flags': 0, 'primary_guild': None, 'id': '1404882209613156574', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4018', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1404887194161647677'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-12T18:00:08.687000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1404887012200157337', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-13 22:07:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-13 22:07:22] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1404887012200157337.
[2025-08-13 22:07:24] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-13 22:07:24] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-13 22:07:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '762539453896982529', 'timestamp': 1755103060, 'member': {'user': {'username': 'milf1659', 'public_flags': 0, 'primary_guild': None, 'id': '762539453896982529', 'global_name': 'milf', 'display_name_styles': None, 'display_name': 'milf', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1405218202408980522'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-12T17:59:25.276000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1404887012728635464', 'guild_id': '1404887012200157337'}}
[2025-08-13 22:07:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-13 22:07:41] [DEBUG   ] discord.client: Dispatching event typing
[2025-08-13 22:07:41] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-08-13 22:07:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-13T16:37:44.494000+00:00', 'pinned': False, 'nonce': '1405228845597982720', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1405218202408980522'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-12T17:59:25.276000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1405228844818104371', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '*poll is rashu the best', 'components': [], 'channel_type': 0, 'channel_id': '1404887012728635464', 'author': {'username': 'milf1659', 'public_flags': 0, 'primary_guild': None, 'id': '762539453896982529', 'global_name': 'milf', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1404887012200157337'}}
[2025-08-13 22:07:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-13 22:07:45] [DEBUG   ] discord.client: Dispatching event message
[2025-08-13 22:07:45] [DEBUG   ] discord.client: Dispatching event command
[2025-08-13 22:07:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-13T16:37:44.955000+00:00', 'pinned': False, 'nonce': '4887550029306377978', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1404887194161647677'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-12T18:00:08.687000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1405228846751416390', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'id': '1405228846751416391', 'description': 'is rashu the best', 'content_scan_version': 0}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1404887012728635464', 'author': {'username': 'at_your_service', 'public_flags': 0, 'primary_guild': None, 'id': '1404882209613156574', 'global_name': None, 'display_name_styles': None, 'discriminator': '4018', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1404887012200157337'}}
[2025-08-13 22:07:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-13 22:07:45] [DEBUG   ] discord.client: Dispatching event message
[2025-08-13 22:07:45] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1404887012728635464/messages with {"embeds":[{"flags":0,"type":"rich","description":"is rashu the best","title":"New Poll"}],"content":null,"components":[],"nonce":"4887550029306377978","enforce_nonce":true,"tts":false} has returned 200
[2025-08-13 22:07:45] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-08-13 22:07:45] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1404887012728635464/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'is rashu the best', 'content_scan_version': 0}], 'timestamp': '2025-08-13T16:37:44.955000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1405228846751416390', 'channel_id': '1404887012728635464', 'author': {'id': '1404882209613156574', 'username': 'at_your_service', 'avatar': None, 'discriminator': '4018', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '4887550029306377978'}
[2025-08-13 22:07:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 7, 'op': 0, 'd': {'user_id': '1404882209613156574', 'type': 0, 'message_id': '1405228846751416390', 'message_author_id': '1404882209613156574', 'member': {'user': {'username': 'at_your_service', 'public_flags': 0, 'primary_guild': None, 'id': '1404882209613156574', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4018', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1404887194161647677'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-12T18:00:08.687000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1404887012728635464', 'burst': False, 'guild_id': '1404887012200157337'}}
[2025-08-13 22:07:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-13 22:07:46] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-13 22:07:46] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-13 22:07:46] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1404887012728635464/messages/1405228846751416390/reactions/%F0%9F%91%8D/@me with None has returned 204
[2025-08-13 22:07:46] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2025-08-13 22:07:46] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-08-13 22:07:46] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1404887012728635464/messages/1405228846751416390/reactions/%F0%9F%91%8D/@me has received 
[2025-08-13 22:07:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 8, 'op': 0, 'd': {'user_id': '1404882209613156574', 'type': 0, 'message_id': '1405228846751416390', 'message_author_id': '1404882209613156574', 'member': {'user': {'username': 'at_your_service', 'public_flags': 0, 'primary_guild': None, 'id': '1404882209613156574', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4018', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1404887194161647677'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-12T18:00:08.687000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1404887012728635464', 'burst': False, 'guild_id': '1404887012200157337'}}
[2025-08-13 22:07:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-13 22:07:46] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-13 22:07:46] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-13 22:07:46] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1404887012728635464/messages/1405228846751416390/reactions/%F0%9F%91%8E/@me with None has returned 204
[2025-08-13 22:07:46] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-08-13 22:07:46] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1404887012728635464/messages/1405228846751416390/reactions/%F0%9F%91%8E/@me has received 
[2025-08-13 22:07:46] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-08-13 22:08:02] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:08:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:08:43] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:08:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:09:24] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:09:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:10:05] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:10:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:10:47] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:10:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:11:28] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:11:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:12:09] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:12:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:12:50] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:12:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:13:32] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:13:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:14:13] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:14:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:14:54] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:14:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:15:36] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:15:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:16:17] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:16:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:16:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:16:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:17:39] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:17:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:18:21] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:18:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:19:02] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:19:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:19:43] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:19:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:20:24] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:20:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:21:06] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:21:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:21:47] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:21:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 22:22:28] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-08-13 22:22:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
